GEOID,Tract,Block,LRS,MajorPlace,MinorPlace,Pop2017,Undercount
470650122002,012200,2,35.7,Chattanooga,None,264,94
470650016001,001600,1,34.9,Chattanooga,None,2619,914
470650012003,001200,3,34.5,Chattanooga,None,1222,422
470650019001,001900,1,33.6,Chattanooga,None,1761,592
470650124002,012400,2,32.9,Chattanooga,None,1270,418
470650025002,002500,2,32.8,Chattanooga,None,2291,751
470650034001,003400,1,32.2,Chattanooga,None,1293,416
470650019003,001900,3,31.7,Chattanooga,None,1326,420
470650013001,001300,1,31.4,Chattanooga,None,1323,415
470650011002,001100,2,31.4,Chattanooga,None,792,249
470650024003,002400,3,30.8,Chattanooga,None,1249,385
470650024004,002400,4,30.4,Chattanooga,None,2455,746
470650014002,001400,2,30.3,Chattanooga,None,897,272
470650118005,011800,5,30,East Ridge,None,1225,368
470650012002,001200,2,29.4,Chattanooga,None,688,202
470650026002,002600,2,29.3,Chattanooga,None,660,193
470650030002,003000,2,29.2,Chattanooga,None,1555,454
470650029001,002900,1,29.2,Chattanooga,None,1578,461
470650004002,000400,2,28.8,Chattanooga,None,2233,643
470650023001,002300,1,28.7,Chattanooga,None,1194,343
470650034003,003400,3,28.6,Chattanooga,None,1446,414
470650113261,011326,1,28.3,Chattanooga,None,2611,739
470650107001,010700,1,28.2,Red Bank,None,905,255
470650007004,000700,4,28.2,Chattanooga,None,1395,393
470650026001,002600,1,28,Chattanooga,None,1101,308
470650025003,002500,3,28,Chattanooga,None,1289,361
470650011001,001100,1,28,Chattanooga,None,789,221
470650012001,001200,1,27.9,Chattanooga,None,1378,384
470650024002,002400,2,27.8,Chattanooga,None,989,275
470650004001,000400,1,27.8,Chattanooga,None,1449,403
470650124003,012400,3,27.5,Chattanooga,None,2709,745
470650122003,012200,3,27.4,Chattanooga,None,1197,328
470650029002,002900,2,27.1,Chattanooga,None,1140,309
470650113214,011321,4,26.9,Chattanooga,None,2617,704
470650122001,012200,1,26.7,Chattanooga,None,1074,287
470650025001,002500,1,26.6,Chattanooga,None,1103,293
470650033002,003300,2,26.5,Chattanooga,None,1006,267
470650033005,003300,5,26.5,Chattanooga,None,771,204
470650114431,011443,1,26.4,Chattanooga,None,1539,406
470650121002,012100,2,26.1,Chattanooga,Hamilton County,717,187
470650113113,011311,3,25.9,Chattanooga,Hamilton County,1115,289
470650107002,010700,2,25.4,Red Bank,Chattanooga,1034,263
470650119002,011900,2,25.3,East Ridge,None,891,225
470650019002,001900,2,25.3,Chattanooga,None,703,178
470650031001,003100,1,25.2,Chattanooga,None,1946,490
470650123003,012300,3,25,Chattanooga,None,2143,536
470650114441,011444,1,24.9,Chattanooga,None,1008,251
470650105022,010502,2,24.9,Chattanooga,Red Bank,1039,259
470650108001,010800,1,24.8,Red Bank,None,1009,250
470650114452,011445,2,24.7,Chattanooga,None,2206,545
470650020002,002000,2,24.7,Chattanooga,None,270,67
470650116005,011600,5,24.6,East Ridge,None,568,140
470650124001,012400,1,24.5,Chattanooga,None,2458,602
470650123002,012300,2,24.5,Chattanooga,None,1292,317
470650108004,010800,4,24.4,Red Bank,None,720,176
470650109011,010901,1,24.3,Chattanooga,Red Bank,1976,480
470650008001,000800,1,24.3,Chattanooga,None,1649,401
470650114442,011444,2,24.2,Chattanooga,None,2282,552
470650104331,010433,1,24.2,Chattanooga,Red Bank,2158,522
470650014001,001400,1,24.1,Chattanooga,None,1016,245
470650123004,012300,4,23.7,Chattanooga,None,841,199
470650106003,010600,3,23.6,Red Bank,None,1279,302
470650030001,003000,1,23.6,Chattanooga,None,961,227
470650020001,002000,1,23.6,Chattanooga,None,929,219
470650018002,001800,2,23.6,Chattanooga,None,1170,276
470650116001,011600,1,23.1,East Ridge,Chattanooga,1130,261
470650032001,003200,1,23.1,Chattanooga,None,858,198
470650032003,003200,3,23.1,Chattanooga,None,1942,449
470650114113,011411,3,23,Chattanooga,None,1949,448
470650118001,011800,1,22.9,East Ridge,None,1447,331
470650119001,011900,1,22.8,East Ridge,None,798,182
470650117002,011700,2,22.8,East Ridge,Chattanooga,1318,301
470650104314,010431,4,22.8,Chattanooga,None,1331,303
470650121004,012100,4,22.7,Chattanooga,Hamilton County,1230,279
470650114022,011402,2,22.7,Chattanooga,None,2453,557
470650109033,010903,3,22.7,Chattanooga,Hamilton County,1595,362
470650112015,011201,5,22.6,Collegedale,Chattanooga,2452,554
470650024001,002400,1,22.4,Chattanooga,None,1345,301
470650114421,011442,1,22.3,East Ridge,Chattanooga,2922,652
470650113233,011323,3,22.2,Chattanooga,Hamilton County,508,113
470650109034,010903,4,22.2,Chattanooga,Red Bank,1849,410
470650013002,001300,2,22.1,Chattanooga,None,573,127
470650116002,011600,2,21.7,East Ridge,Chattanooga,1102,239
470650108002,010800,2,21.7,Red Bank,None,1357,294
470650033004,003300,4,21.7,Chattanooga,None,1070,232
470650028002,002800,2,21.7,Chattanooga,None,783,170
470650114453,011445,3,21.4,Chattanooga,None,1191,255
470650112032,011203,2,21.2,Collegedale,Apison,1925,408
470650109031,010903,1,21.2,Chattanooga,Red Bank,1604,340
470650113114,011311,4,21,Collegedale,Chattanooga,2816,591
470650034002,003400,2,21,Chattanooga,None,1377,289
470650108003,010800,3,20.8,Red Bank,None,1134,236
470650117004,011700,4,20.7,East Ridge,None,1053,218
470650028003,002800,3,20.7,Chattanooga,East Ridge,1562,323
470650105013,010501,3,20.6,Chattanooga,Red Bank,1222,252
470650033003,003300,3,20.6,Chattanooga,None,807,166
470650018001,001800,1,20.6,Chattanooga,Hamilton County,1193,246
470650103073,010307,3,20.5,Soddy-Daisy,None,1591,326
470650104353,010435,3,20.4,Chattanooga,None,2350,479
470650114024,011402,4,20.2,Chattanooga,None,1733,350
470650105015,010501,5,20.2,Chattanooga,None,919,186
470650104324,010432,4,20.1,Chattanooga,None,699,140
470650114432,011443,2,20,Chattanooga,None,1594,319
470650114461,011446,1,19.9,Chattanooga,None,1766,351
470650113212,011321,2,19.9,Chattanooga,None,1358,270
470650104332,010433,2,19.9,Chattanooga,None,1129,225
470650104351,010435,1,19.8,Chattanooga,Red Bank,1948,386
470650114451,011445,1,19.7,Chattanooga,None,274,54
470650114023,011402,3,19.6,Chattanooga,None,1381,271
470650113115,011311,5,19.4,Collegedale,Chattanooga,2001,388
470650117003,011700,3,19.3,East Ridge,Chattanooga,1266,244
470650114133,011413,3,18.9,Chattanooga,Harrison,1383,261
470650112043,011204,3,18.7,Collegedale,Apison,2013,376
470650103071,010307,1,18.7,Soddy-Daisy,Mowbray Mountain,1297,243
470650102021,010202,1,18.6,Sale Creek,None,589,110
470650114462,011446,2,18.5,Chattanooga,None,2268,420
470650026003,002600,3,18.5,Chattanooga,None,477,88
470650006001,000600,1,18.5,Chattanooga,None,931,172
470650116003,011600,3,18.1,Chattanooga,East Ridge,1157,209
470650113251,011325,1,18.1,Chattanooga,Hamilton County,1411,255
470650006002,000600,2,18.1,Chattanooga,None,1477,267
470650118004,011800,4,17.9,East Ridge,None,1165,209
470650116006,011600,6,17.8,East Ridge,None,948,169
470650112031,011203,1,17.7,Collegedale,Hamilton County,3082,546
470650033001,003300,1,17.5,Chattanooga,None,1129,198
470650113211,011321,1,17.3,Chattanooga,None,1614,279
470650113111,011311,1,17.2,Chattanooga,Hamilton County,2153,370
470650107003,010700,3,17.1,Red Bank,None,823,141
470650110021,011002,1,17,Signal Mountain,Walden,3668,624
470650113142,011314,2,16.9,Hamilton County,None,3064,518
470650114112,011411,2,16.9,Chattanooga,None,1416,239
470650114474,011447,4,16.8,Hamilton County,None,2568,431
470650113253,011325,3,16.8,Chattanooga,Hamilton County,890,150
470650109021,010902,1,16.6,Chattanooga,Signal Mountain,997,166
470650121003,012100,3,16.5,Chattanooga,None,1317,217
470650105021,010502,1,16.5,Chattanooga,Red Bank,1578,260
470650032002,003200,2,16.4,Chattanooga,Ridgeside,672,110
470650101042,010104,2,16.3,Hamilton County,None,1226,200
470650123001,012300,1,16.3,Chattanooga,None,800,130
470650110011,011001,1,16.2,Soddy-Daisy,Flat Top Mountain,1764,286
470650103074,010307,4,16.2,Soddy-Daisy,None,1473,239
470650114021,011402,1,16.1,Chattanooga,None,997,161
470650104124,010412,4,16,Soddy-Daisy,Middle Valley,1625,260
470650104352,010435,2,15.8,Chattanooga,None,1759,278
470650101032,010103,2,15.7,Hamilton County,None,2625,412
470650102023,010202,3,15.7,Sale Creek,Hamilton County,1431,225
470650110024,011002,4,15.6,Fairmount,Hamilton County,1496,233
470650105016,010501,6,15.6,Chattanooga,None,1346,210
470650103043,010304,3,15.5,Lakesite,Hamilton County,1333,207
470650114135,011413,5,15.4,Chattanooga,Harrison,1611,248
470650101012,010101,2,15.3,Hamilton County,None,1732,265
470650104114,010411,4,15.3,Chattanooga,Soddy-Daisy,1080,165
470650104321,010432,1,15.2,Chattanooga,None,2374,361
470650101011,010101,1,15.1,Hamilton County,None,2303,348
470650111003,011100,3,15.1,Signal Mountain,None,1614,244
470650109032,010903,2,15,Chattanooga,Red Bank,1088,163
470650106002,010600,2,14.9,Red Bank,None,1107,165
470650103062,010306,2,14.9,Soddy-Daisy,Hamilton County,2842,423
470650102022,010202,2,14.9,Sale Creek,None,1017,152
470650103032,010303,2,14.8,Lakesite,Soddy-Daisy,2947,436
470650102024,010202,4,14.6,Hamilton County,None,1066,156
470650118002,011800,2,14.6,East Ridge,None,742,108
470650114111,011411,1,14.5,Chattanooga,None,913,132
470650110023,011002,3,14.5,Walden,Fairmount,2221,322
470650112044,011204,4,14.2,Apison,Hamilton County,1196,170
470650114134,011413,4,14,Chattanooga,Harrison,2191,307
470650113242,011324,2,13.9,Hamilton County,None,2612,363
470650101041,010104,1,13.8,Hamilton County,None,1199,165
470650113231,011323,1,13.8,Chattanooga,None,2091,289
470650104341,010434,1,13.7,Soddy-Daisy,Chattanooga,2135,292
470650112012,011201,2,13.6,Chattanooga,Hamilton County,1257,171
470650033006,003300,6,13.3,Ridgeside,Chattanooga,945,126
470650105012,010501,2,13.2,Red Bank,Chattanooga,1484,196
470650103051,010305,1,13.2,Soddy-Daisy,Hamilton County,3244,428
470650117001,011700,1,13.1,East Ridge,Chattanooga,1346,176
470650104334,010433,4,13,Chattanooga,None,574,75
470650028001,002800,1,12.8,Chattanooga,None,1087,139
470650114471,011447,1,12.7,Hamilton County,None,2833,360
470650113252,011325,2,12.7,Chattanooga,Hamilton County,1561,198
470650113143,011314,3,12.7,Collegedale,Hamilton County,914,116
470650104132,010413,2,12.7,Lakesite,Middle Valley,1338,170
470650112013,011201,3,12.6,Hamilton County,None,2547,321
470650104111,010411,1,12.5,Chattanooga,Middle Valley,3287,411
470650103041,010304,1,12.4,Lakesite,Hamilton County,1635,203
470650007003,000700,3,12.4,Chattanooga,None,1256,156
470650104312,010431,2,12.3,Chattanooga,Middle Valley,1788,220
470650120001,012000,1,12.2,Lookout Mountain,None,1086,132
470650111002,011100,2,12.2,Signal Mountain,Walden,2067,252
470650110022,011002,2,12.2,Walden,Signal Mountain,818,100
470650105023,010502,3,12.2,Chattanooga,None,841,103
470650121001,012100,1,12,Chattanooga,Hamilton County,1933,232
470650101031,010103,1,11.8,Hamilton County,None,1460,172
470650103044,010304,4,11.8,Hamilton County,None,685,81
470650104131,010413,1,11.8,Chattanooga,Hamilton County,2514,297
470650006003,000600,3,11.7,Chattanooga,None,870,102
470650118006,011800,6,11.6,East Ridge,None,999,116
470650112011,011201,1,11.3,Chattanooga,Hamilton County,3014,341
470650104113,010411,3,11.2,Middle Valley,None,1731,194
470650114433,011443,3,11,Chattanooga,None,1016,112
470650113254,011325,4,10.8,Hamilton County,None,2278,246
470650102013,010201,3,10.8,Soddy-Daisy,Hamilton County,1522,164
470650103061,010306,1,10.7,Soddy-Daisy,Hamilton County,1228,131
470650120002,012000,2,10.6,Lookout Mountain,Chattanooga,897,95
470650114434,011443,4,10.6,Chattanooga,None,1871,198
470650104122,010412,2,10.6,Lakesite,Middle Valley,633,67
470650112041,011204,1,10.2,Collegedale,Hamilton County,2132,217
470650121005,012100,5,9.9,Chattanooga,Hamilton County,950,94
470650114132,011413,2,9.3,Chattanooga,Harrison,1448,135
470650102011,010201,1,9.3,Soddy-Daisy,Hamilton County,1229,114
470650103072,010307,2,9.2,Soddy-Daisy,Mowbray Mountain,976,90
470650102012,010201,2,9.2,Soddy-Daisy,Hamilton County,824,76
470650103042,010304,2,9.1,Hamilton County,None,1329,121
470650113141,011314,1,9,Hamilton County,None,1745,157
470650114131,011413,1,9,Harrison,None,885,80
470650112042,011204,2,9,Collegedale,Hamilton County,732,66
470650101013,010101,3,8.9,Hamilton County,None,1716,153
470650113262,011326,2,8.1,Chattanooga,None,875,71
470650112014,011201,4,8,Collegedale,Chattanooga,2117,169
470650105014,010501,4,8,Chattanooga,Red Bank,711,57
470650104112,010411,2,8,Middle Valley,None,906,72
470650104121,010412,1,7.9,Soddy-Daisy,Middle Valley,1789,141
470650007002,000700,2,7.8,Chattanooga,None,601,47
470650111001,011100,1,7.7,Signal Mountain,Hamilton County,2486,191
470650113232,011323,2,7.4,Chattanooga,Hamilton County,2962,219
470650113241,011324,1,7.3,Hamilton County,None,1805,132
470650104123,010412,3,7.1,Middle Valley,None,1246,88
470650114473,011447,3,6.8,Chattanooga,Hamilton County,2514,171
470650113263,011326,3,6.5,Chattanooga,None,1303,85
470650101043,010104,3,6.4,Hamilton County,None,1131,72
470650112033,011203,3,6.1,Collegedale,Hamilton County,2063,126
470650106001,010600,1,5.8,Red Bank,Chattanooga,496,29
470650113213,011321,3,4.5,Chattanooga,None,2017,91
470650007001,000700,1,3.9,Chattanooga,None,990,39
470650101044,010104,4,3.8,Hamilton County,None,749,28
470650104313,010431,3,3.8,Chattanooga,None,2000,76
470650113112,011311,2,3.5,Chattanooga,Hamilton County,850,30
470650118003,011800,3,3.1,East Ridge,None,685,21
470650104322,010432,2,2.6,Chattanooga,Red Bank,2990,78
470650105011,010501,1,1.7,Red Bank,Chattanooga,441,7
470650104333,010433,3,0.1,Chattanooga,None,618,1
470659802001,980200,1,0,None,None,0,0
470659801001,980100,1,0,None,None,0,0
470650116004,011600,4,0,East Ridge,None,310,0
470650114472,011447,2,0,Chattanooga,Hamilton County,447,0
470650104323,010432,3,0,Chattanooga,None,928,0
470650104311,010431,1,0,Chattanooga,Middle Valley,2004,0
470650103031,010303,1,0,Soddy-Daisy,Hamilton County,299,0
